"","YEAR","LATITUDE","LONGITUDE","tot_cpue"
"127",2019,57.34001,-171.473595,4133.63869737482
"128",2019,57.34162,-168.98299,307.434727810443
"129",2019,57.34203,-167.733365,148.235923482374
"130",2019,57.342085,-172.81877,3933.06576492877
"131",2019,57.346585,-159.059015,0
"132",2019,57.494325,-170.54616,0
"133",2019,57.497375,-168.73183,75.2524691239521
"134",2019,57.501705,-169.987175,6427.62505870183
"135",2019,57.5099,-169.36614,3093.120949017
"136",2019,57.63733,-159.028095,161.407778532551
"137",2019,57.65599,-158.343915,0
"138",2019,57.655995,-164.009235,0
"139",2019,57.65962,-166.497835,286.185658570096
"140",2019,57.659995,-171.53644,72178.4798718323
"141",2019,57.6604,-167.135655,535.522227774277
"142",2019,57.661525,-168.40708,378.097717876333
"143",2019,57.66287,-161.48629,0
"144",2019,57.663775,-169.034005,11457.4181308288
"145",2019,57.66393,-160.881855,0
"146",2019,57.664385,-164.63374,0
"147",2019,57.667605,-165.87953,0
"148",2019,57.66768,-159.625385,0
"149",2019,57.66848,-170.900175,11348.3988540653
"150",2019,57.66848,-163.388685,0
"151",2019,57.66851,-169.668655,11873.0075487738
"152",2019,57.670055,-165.25607,0
"153",2019,57.670965,-170.28428,201.204963746439
"154",2019,57.67123,-162.12519,0
"155",2019,57.671875,-172.782045,31479.0564480398
"156",2019,57.67354,-172.190825,73676.8514020679
"157",2019,57.67432,-162.731725,0
"158",2019,57.67785,-160.261015,150.690956939501
"159",2019,57.68131,-167.759065,545.311348719346
"160",2019,57.708985,-173.408905,371.222354554209
"161",2019,57.815155,-170.006615,6659.98288856858
"162",2019,57.82608,-168.737835,71922.7984747283
"163",2019,57.83261,-169.36258,155049.053891615
"164",2019,57.835065,-170.61108,3754.53161144916
"165",2019,57.98709,-158.97922,0
"166",2019,57.98737,-169.688225,16034.3249661549
"167",2019,57.987935,-167.807975,1115.03837961345
"168",2019,57.98949,-164.01547,0
"169",2019,57.990875,-172.24598,61060.4339423137
"170",2019,57.991035,-158.319795,0
"171",2019,57.992125,-162.107245,0
"172",2019,57.994255,-167.16039,1321.34413427706
"173",2019,57.99547,-161.475725,0
"174",2019,57.99585,-170.982325,1008.02793969355
"175",2019,57.99875,-166.522545,212.988607229272
"176",2019,57.998925,-169.052045,39778.7682468911
"177",2019,57.999925,-163.383455,0
"178",2019,58.00116,-171.59948,398221.061440827
"179",2019,58.001765,-165.900445,225.035189486391
