"","stock","est_m","up_m","dn_m","sd","Year"
"85","Gulf of St Lawrence",2401200000,3433806400,1368593600,526840000,2010
"86","Gulf of St Lawrence",1926200000,2812649200,1039750800,452270000,2011
"87","Gulf of St Lawrence",1557800000,2356696000,758904000,407600000,2012
"88","Gulf of St Lawrence",1671200000,2534795600,807604400,440610000,2013
"89","Gulf of St Lawrence",2011300000,3016113600,1006486400,512660000,2014
"90","Gulf of St Lawrence",3635500000,5185546400,2085453600,790840000,2015
"91","Gulf of St Lawrence",2679100000,4046964400,1311235600,697890000,2016
"92","Gulf of St Lawrence",4163100000,5938350400,2387849600,905740000,2017
"93","Gulf of St Lawrence",3846100000,5871956000,1820244000,1033600000,2018
"94","Gulf of St Lawrence",4826600000,7237204000,2415996000,1229900000,2019
"95","Gulf of St Lawrence",7086600000,10306292000,3866908000,1642700000,2020
"96","Gulf of St Lawrence",4.801e+09,7324892000,2277108000,1287700000,2021
"97","Gulf of St Lawrence",2524900000,4364222800,685577200,938430000,2022
"98","Gulf of St Lawrence",0,0,0,0,2023
