"","Year","M_imm","Other_mortality","N_imm","Recruitment","Abundance","Temperature","Size","stock","coldpool","lag_cold","ice","lag_ice","imm_sd","mat_sd","p_mort_mat","p_mort_imm"
"1",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237644,NA,NA,NA,NA,NA
"2",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292170,237644,NA,NA,NA,NA
"3",1982,0.229713,0.363328,0.247500866519946,0.26564091127704,0.530607562462906,1.75955419617351,70.9830400623496,"Snow",211250,NA,280293,292170,0.74969,1.1047,0.304641681438198,0.205238333627148
"4",1983,0.170636,0.835615,0.211774026858871,0.188071126682985,0.663337445550616,0.865363551154144,63.8084874409392,"Snow",161525,211250,302066,280293,0.6835,0.54106,0.56639226933882,0.156871583633618
"5",1984,0.147349,1.72847,0.209085767591533,0.262393835257576,0.471476767562473,-0.291665637770214,63.1199456191106,"Snow",207575,161525,328710,302066,0.66841,0.31771,0.822444137274464,0.13700725961288
"6",1985,0.0912786,0.266539,0.262310647769115,0.715329369312243,0.177899285204137,0.701307941307843,68.8672739886393,"Snow",205000,207575,282936,328710,0.61962,0.77598,0.233973871875373,0.087236620404995
"7",1986,0.0828744,0.12809,0.463412885324955,1,0.310747274388474,-0.0928078687068454,57.205436969087,"Snow",257925,205000,273052,282936,0.61025,0.72734,0.12022580409618,0.0795332494160452
"8",1987,0.104313,0.179766,0.506198246759647,0.857432270857459,0.542156210089287,1.64833768151039,55.3767579035019,"Snow",94475,257925,287074,273052,0.62981,0.77423,0.164534312489446,0.099056741955423
"9",1988,0.131554,0.350091,0.50081721029625,0.368597537219794,0.844163178572334,-0.0501863444956086,60.8051448847005,"Snow",205925,94475,285035,287074,0.64606,0.76529,0.295376033979778,0.123268069664739
"10",1989,0.17197,0.4094,0.459477754766454,0.104487332776257,0.891882766302927,1.96945506543723,67.0561326147778,"Snow",106025,205925,298563,285035,0.66799,0.7192,0.335951440232659,0.157995567077411
"11",1990,0.216647,0.581228,0.435738742348432,0.0929280377020858,0.91614338112664,0.193852360272407,75.3860223681652,"Snow",182350,106025,313723,298563,0.69215,0.66399,0.440788766642602,0.194785840259173
"12",1991,0.282267,1.25632,0.628115345520253,0.12699546725921,0.76389240764275,0.966272119973389,62.9924173146305,"Snow",166900,182350,325823,313723,0.70133,0.36049,0.715300203646365,0.245927679657366
