Year,coldpool,lag_cold,ice,lag_ice
1980,,,237644,
1981,,,292170,237644
1982,211250,,280293,292170
1983,161525,211250,302066,280293
1984,207575,161525,328710,302066
1985,205000,207575,282936,328710
1986,257925,205000,273052,282936
1987,94475,257925,287074,273052
1988,205925,94475,285035,287074
1989,106025,205925,298563,285035
1990,182350,106025,313723,298563
1991,166900,182350,325823,313723
1992,242025,166900,320923,325823
1993,133375,242025,296059,320923
1994,259900,133375,317464,296059
1995,274275,259900,357572,317464
1996,99325,274275,220454,357572
1997,173125,99325,265791,220454
1998,100625,173125,325253,265791
1999,385975,100625,349619,325253
2000,236925,385975,357519,349619
2001,175550,236925,233725,357519
2002,101575,175550,303202,233725
2003,46900,101575,213179,303202
2004,89500,46900,234737,213179
2005,85700,89500,246560,234737
2006,244375,85700,332516,246560
2007,281100,244375,275417,332516
2008,345200,281100,329720,275417
2009,320075,345200,350421,329720
2010,269125,320075,351966,350421
2011,167875,269125,249895,351966
2012,368825,167875,423280,249895
2013,258450,368825,362409,423280
2014,128100,258450,234357,362409
2015,122600,128100,197687,234357
2016,89225,122600,229818,197687
2017,169150,89225,183960,229818
2018,6150,169150,96622,183960
2019,26625,6150,143310,96622
2020,69224.96,26625,226707,143310
2021,58975,69224.96,227375,226707
2022,178625,58975,288117,227375
2023,179550,178625,243431,288117
