
Initial statistics: 100 variables; iteration 0; function evaluation 0; phase 1
Function value 2.8962372e+04; maximum gradient component mag -7.3722e+05
 46  0.07013  1.14007e+03 | 47  0.06208 -2.18358e+02 | 48  0.14860  2.64267e+03
 49 -0.06489 -2.28267e+03 | 50  0.12084 -2.86896e+01 | 51  0.06985 -2.83301e+03
 52 -0.16002 -2.39548e+03 | 53 -0.00546 -3.62225e+03 | 54  0.11122  1.95943e+04
 55 -0.22015 -2.12446e+03 | 56  0.05280  1.50631e+03 | 57  0.08728  6.19532e+03
 58  0.07221  3.32202e+03 | 59  0.13965  7.63315e+03 | 60  0.10698  5.11749e+03
 61  0.05340  1.65436e+02 | 62 -0.20772 -2.23973e+03 | 63 -0.54534 -1.50269e+03
 64 -0.34241 -2.17259e+03 | 65 -0.03169 -2.37728e+03 | 66  0.00030 -2.28332e+03
 67  0.07402 -7.11991e+03 | 68  0.03097 -4.88057e+01 | 69 -0.84240  4.29193e+02
 70 -0.78904  2.04313e+03 | 71  0.11422 -1.00960e+04 | 72 -0.43501 -2.22094e+03
 73 -0.40244 -1.86509e+03 | 74 -0.32508 -2.72887e+03 | 75  0.51698  4.68276e+02
 76  0.03198 -3.13228e+01 | 77  0.23731  9.30911e+02 | 78  0.03540  2.67397e+02
 79  0.19243  5.53117e+02 | 80  0.23622  3.69683e+02 | 81  0.05692  4.08107e+02
 82 -0.01636 -1.68275e+01 | 83  0.00724  1.14362e+02 | 84  0.23511  1.46617e+03
 85  0.00039  7.62358e+01 | 86 -0.04710 -1.75643e+02 | 87 -0.02670 -2.70661e+02
 88 -0.08422 -1.45685e+02 | 89 -0.07066  2.80005e+02 | 90 -0.04870 -1.07253e+03
 91 -0.03045 -4.88622e+02 | 92 -0.06253  1.24309e+03 | 93  0.18507  1.06019e+03
 94  0.04462  8.77684e+02 | 95 -0.03308  1.49082e+03 | 96 -0.08374 -1.94453e+01
 97 -0.09148 -3.90377e+02 | 98 -0.08101 -9.21245e+02 | 99  0.03200  2.89023e+02
100  0.00210  3.14222e+02 |
100 variables; iteration 40; function evaluation 47; phase 1
Function value 1.1618922e+04; maximum gradient component mag -3.4796e+04
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.24630  4.07789e+03 |  2  0.06848 -2.22687e+02 |  3  0.04328 -2.28454e+02
  4 -0.06915 -2.14518e+02 |  5  0.15114  6.03577e+02 |  6  0.14180  4.22407e+02
  7  0.12618  1.29348e+02 |  8  0.15221  1.55302e+02 |  9  0.08191 -1.90926e+02
 10  0.02476 -1.04301e+02 | 11  0.12217  7.32534e+02 | 12 -0.15091 -7.53699e+00
 13 -0.13781  4.64411e+00 | 14 -0.14451  3.89455e+00 | 15 -0.19322  1.61921e+00
 16 -0.61529  7.03959e-04 | 17 -0.61529  7.03688e-04 | 18 -0.22433  1.07263e+00
 19  0.11304 -6.34438e+01 | 20  0.20108 -1.49111e+02 | 21  0.18732  1.85293e+02
