
Initial statistics: 108 variables; iteration 0; function evaluation 0; phase 1
Function value 2.2987237e+05; maximum gradient component mag 3.0513e+06
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
 67 -0.03808 -3.68391e+02 | 68 -0.61740  5.40562e+02 | 69 -0.88301  1.73056e+02
 70 -0.43357  7.48650e+02 | 71  0.14023 -6.66947e+03 | 72  0.16882 -4.77476e+03
 73  0.01727 -7.94940e+01 | 74 -0.63885 -8.46047e+02 | 75  0.30260  4.58139e+02
 76 -0.63853  1.74617e+03 | 77 -0.22104  1.06442e+03 | 78 -0.16311  1.89530e+03
 79 -0.22156  1.27546e+03 | 80 -0.45465 -1.42762e+03 | 81 -0.53282 -4.71993e+03
 82 -0.23600 -2.50125e+03 | 83 -0.14783 -1.38505e+03 | 84  0.03418  2.16565e+02
 85  0.11978  1.14624e+02 | 86  0.16553  5.88961e+02 | 87  0.15115  2.13595e+02
 88  0.19782  1.27943e+02 | 89  0.15255  2.38559e+02 | 90 -0.12916 -2.66753e+03
 91 -0.16670 -2.79547e+03 | 92  0.04727 -4.75634e+02 | 93  0.08937  2.13745e+02
 94  0.00144 -1.72393e+03 | 95  0.10098 -1.30394e+02 | 96  0.04456 -7.18993e+02
 97  0.25252  2.50587e+03 | 98  0.10255  1.06961e+03 | 99  0.16662  2.19213e+03
100  0.11529  1.05348e+03 |101  0.10318  1.42090e+03 |102  0.18293  3.90522e+03
103  0.08181 -2.32998e+02 |104  0.88031 -3.51981e+03 |105 -0.89896  5.05735e+04
106  0.37441 -2.46231e+03 |107 -1.04334  9.64571e+03 |108 -0.40703 -4.37767e+02
108 variables; iteration 40; function evaluation 58; phase 1
Function value 1.3141190e+04; maximum gradient component mag 7.4514e+04
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.45666  2.42779e+02 |  2  0.44005  8.51303e+01 |  3  0.50517  9.72791e+02
  4  0.51930  2.08470e+03 |  5  0.35543  3.56667e+01 |  6  0.34815  2.84719e+02
  7  0.34441  5.38396e+02 |  8  0.39360  2.20912e+03 |  9  0.31121  6.92965e+02
 10  0.28381  5.89833e+02 | 11  0.27347  6.14576e+02 | 12  0.26950  6.88006e+02
 13  0.25652  7.01870e+02 | 14  0.23832  6.54734e+02 | 15  0.21436  5.64833e+02
 16  0.19658  4.75149e+02 | 17  0.18910  4.43407e+02 | 18  0.18438  4.92248e+02
 19  0.18149  5.18341e+02 | 20  0.17791  5.40964e+02 | 21  0.17396  5.54940e+02
 22  0.01210  8.87143e-02 | 23  0.05085 -8.17795e+00 | 24  0.13362 -2.61101e+01
 25  0.36549  6.08893e+01 | 26  0.41247  2.41419e+02 | 27  0.44159  4.40071e+02
 28  0.43926  3.98903e+02 | 29  0.42149  2.23835e+02 | 30  0.43149  4.40853e+02
 31  0.41721  4.09731e+02 | 32  0.36229  1.70064e+02 | 33  0.35090  5.41601e+02
 34  0.32206  6.66990e+02 | 35  0.30917  8.35501e+02 | 36  0.31181  1.24240e+03
 37  0.31476  1.82007e+03 | 38  0.31469  2.51646e+03 | 39  0.29658  2.54528e+03
 40  0.26968  2.13765e+03 | 41  0.21090  8.48018e+02 | 42  0.17933  5.80434e+02
 43  0.08786  7.45142e+04 | 44  0.38099  7.59076e+03 | 45  0.28394  1.78506e+03
 46  0.26813  2.05314e+03 | 47  0.14915  8.91589e+02 | 48  0.11110  6.60352e+02
 49 -0.11013  5.08933e+02 | 50  0.08209  1.48998e+03 | 51  0.12736  3.83540e+03
 52 -0.13825  4.21826e+02 | 53  0.17451  6.57005e+02 | 54  0.04067 -5.85558e+02
 55  0.23037  3.47944e+01 | 56 -0.17708  5.37055e+02 | 57  0.20753  2.62603e+03
 58  0.14150 -1.23702e+03 | 59 -0.18939  4.93148e+02 | 60  0.19572  4.70307e+03
 61 -0.37467  4.74419e+02 | 62  0.17848  2.42990e+03 | 63  0.18218  3.83536e+03
 64  0.17935  4.99951e+03 | 65  0.18394  5.15320e+03 | 66  0.23967  4.75162e+03
 67 -0.19595  4.80204e+02 | 68 -1.07382 -6.59712e+01 | 69 -1.01636 -1.43500e+01
